"year","state","n_jobs","population","jobs_per_cap","jobs_per_10k","log_jobs_per_10k","jobs_pct"
2023,"Alaska",209109,736510,0.283918751951773,2839.18751951773,7.95127320554837,0.74
2020,"Virginia",622506,8637615,0.0720691996575444,720.691996575444,6.58021185679789,0.9
2019,"Florida",193345,21492056,0.00899611465743436,89.9611465743436,4.49937787238943,0.28
2022,"Hawaii",272341,1440359,0.18907855610997,1890.7855610997,7.54474766249247,0.02
2021,"Wyoming",127405,579636,0.219801737642244,2198.01737642244,7.69531104049303,0.54
2021,"Iowa",763185,3198613,0.238598730137094,2385.98730137094,7.77736828050243,0.78
2021,"Rhode Island",238158,1097246,0.217050688724315,2170.50688724315,7.68271600784825,0.48
2020,"West Virginia",82952,1791646,0.0462993247550018,462.993247550018,6.13771246985465,0.08
2019,"Nevada",28172,3090771,0.00911487780880563,91.1487780880563,4.51249309552803,0.3
2017,"Nevada",38670,2972097,0.0130110154547446,130.110154547446,4.86838143433611,0.36
2021,"Nebraska",469109,1964537,0.238788579700968,2387.88579700968,7.77816364967111,0.8
2020,"Vermont",45085,642977,0.0701191488964613,701.191488964613,6.55278101515912,0.88
2019,"Mississippi",17561,2978227,0.00589646121669033,58.9646121669033,4.07693747017617,0
2017,"California",438024,39337785,0.011134943159611,111.34943159611,4.71267328903036,0.14
2020,"Colorado",450524,5787129,0.0778493100810436,778.493100810436,6.65736012907735,0.94
2017,"New York",228413,19593849,0.011657382885823,116.57382885823,4.75852479639241,0.2
2022,"South Dakota",275169,909723,0.302475588723161,3024.75588723161,8.01458566877282,0.54
2018,"Arizona",126326,7164228,0.0176328838222346,176.328838222346,5.17235065074246,0.32
2019,"North Dakota",10397,763724,0.0136135567299181,136.135567299181,4.91365120761886,0.92
2023,"Kansas",809424,2951500,0.274241572081992,2742.41572081992,7.91659446089138,0.68
2017,"New Jersey",119231,8888147,0.0134146071166465,134.146071166465,4.89892928957333,0.42
2018,"Florida",374961,21254926,0.017641134106983,176.41134106983,5.17281843328515,0.34
2017,"Pennsylvania",162593,12794679,0.012707860822456,127.07860822456,4.84480585737848,0.32
2019,"Georgia",101683,10628020,0.00956744530025348,95.6744530025348,4.5609513140499,0.34
2021,"Hawaii",160570,1447029,0.110965295097749,1109.65295097749,7.01180258864202,0
2018,"Kansas",59284,2912748,0.0203532883723549,203.532883723549,5.31582758260738,0.62
2024,"North Dakota",332960,796568,0.417993190788483,4179.93190788483,8.33805023540641,0.98
2020,"Michigan",579042,10072703,0.0574862576609278,574.862576609278,6.35413101503171,0.34
2022,"Oklahoma",975341,4026229,0.242246777319422,2422.46777319422,7.79254204055743,0.14
2019,"Ohio",119963,11696507,0.0102563098538735,102.563098538735,4.63047820467713,0.54
2020,"Louisiana",183672,4652301,0.0394798186961678,394.798186961678,5.97837471525313,0.04
2023,"Oklahoma",866234,4063882,0.213154318949221,2131.54318949221,7.66460149848753,0.22
2018,"District of Columbia",42692,704147,0.0606293856254447,606.293856254447,6.40736477984879,1
2022,"Kentucky",1142573,4519233,0.252824539031291,2528.24539031291,7.83528081950876,0.2
2023,"South Dakota",271546,918305,0.295703497204088,2957.03497204088,7.9919423466479,0.82
2024,"Hawaii",348439,1446146,0.24094316894698,2409.4316894698,7.78714618517832,0.38
2023,"West Virginia",405511,1770495,0.229038206829164,2290.38206829164,7.73647392468045,0.28
2018,"Illinois",277376,12724685,0.0217982606249192,217.982606249192,5.38441527175813,0.78
2020,"Indiana",423314,6790497,0.0623391778245392,623.391778245392,6.43517517867615,0.54
2023,"Wyoming",165701,585067,0.283217135815214,2832.17135815214,7.94879896080517,0.72
2024,"Vermont",263749,648493,0.406710635272856,4067.10635272856,8.31068705573216,0.96
2020,"Tennessee",410643,6927904,0.0592737716919865,592.737716919865,6.38475200253741,0.4
2017,"Florida",237182,20977089,0.0113067165801699,113.067165801699,4.72798202975964,0.16
2024,"Alaska",253258,740133,0.342179040794019,3421.79040794019,8.13791920416615,0.9
2023,"Nebraska",586109,1987864,0.294843611031741,2948.43611031741,7.98903017666837,0.8
2021,"Delaware",238246,1005062,0.23704607277959,2370.4607277959,7.77083961514984,0.76
2017,"Minnesota",101303,5569283,0.0181895946031114,181.895946031114,5.20343479847591,0.88
2019,"Wisconsin",66386,5824581,0.0113975580389388,113.975580389388,4.73598421833824,0.8
2024,"Rhode Island",294109,1112308,0.264413274021224,2644.13274021224,7.88009840402766,0.54
2021,"Maine",300847,1378931,0.218174078325892,2181.74078325892,7.68787836156282,0.5
2020,"Maryland",405778,6177935,0.065681817630001,656.81817630001,6.48740723178089,0.7
2021,"West Virginia",297480,1785618,0.166597782952457,1665.97782952457,7.41816751502994,0.08
2018,"New York",345197,19544098,0.0176624677178757,176.624677178758,5.1740270132819,0.36
2020,"Illinois",788786,12799088,0.0616282972661802,616.282972661802,6.42370622925909,0.5
2017,"Kansas",42492,2910892,0.0145975872687822,145.975872687822,4.98344135248927,0.58
2021,"South Carolina",1003093,5194274,0.193115149489611,1931.15149489611,7.56587173346617,0.3
2018,"Massachusetts",194987,6885720,0.0283175906078086,283.175906078086,5.64606828079239,0.96
2021,"North Dakota",197770,777966,0.254214194450657,2542.14194450657,7.84076228988616,0.88
2018,"Washington",147453,7526793,0.0195904152007369,195.904152007369,5.27762551925049,0.46
2019,"Oklahoma",32262,3960676,0.00814557918900713,81.4557918900713,4.40006044228134,0.1
2020,"Kentucky",237997,4508318,0.0527906416539383,527.906416539383,6.26891902659446,0.24
2021,"Montana",226607,1106522,0.204792132465509,2047.92132465509,7.62458056972574,0.36
2024,"Nebraska",587415,2005465,0.292907131263822,2929.07131263822,7.98244069362531,0.76
2017,"Alabama",41446,4877989,0.0084965341250257,84.965341250257,4.44224342334071,0.02
2018,"Missouri",121755,6125986,0.0198751678505305,198.751678505305,5.29205619880849,0.5
2019,"Hawaii",14134,1415615,0.00998435309035296,99.8435309035296,4.60360426961606,0.42
2024,"Montana",449213,1137233,0.395005245187222,3950.05245187222,8.28148413676199,0.92
2019,"Pennsylvania",140772,12798883,0.0109987723147403,109.987723147403,4.70036875181292,0.74
2020,"Maine",87812,1364571,0.0643513602443552,643.513602443552,6.46694316503119,0.64
2017,"Michigan",107476,9976752,0.0107726442433369,107.726442433369,4.67959507337159,0.12
2017,"New Hampshire",28993,1350395,0.0214700143291407,214.700143291407,5.36924237228743,0.98
2023,"District of Columbia",471440,687324,0.685906501155205,6859.06501155205,8.83332641573871,1
2018,"Delaware",22254,966985,0.0230138006277243,230.138006277243,5.43867915627116,0.86
2023,"Rhode Island",278147,1103429,0.252075122187291,2520.75122187291,7.83231223999914,0.48
2021,"Alaska",126255,734420,0.171911167996514,1719.11167996514,7.4495629712569,0.12
2017,"Delaware",19110,957942,0.019949015702412,199.49015702412,5.29576489688779,0.94
2020,"Oklahoma",197404,3965415,0.0497814226253746,497.814226253746,6.21022696777694,0.18
2019,"South Carolina",49438,5157702,0.00958527654370105,95.8527654370105,4.56281332079178,0.38
2017,"Connecticut",54790,3575324,0.0153244852774182,153.244852774182,5.03203698713436,0.66
2020,"Minnesota",413395,5710735,0.0723891057806044,723.891057806044,6.58464090841999,0.92
2024,"Maine",436768,1405012,0.310864248846273,3108.64248846273,8.04194141099333,0.84
2019,"Virginia",108341,8556642,0.0126616259041806,126.616259041806,4.84116092991414,0.88
2018,"Michigan",196670,9987286,0.0196920364551491,196.920364551491,5.28279940615525,0.48
2017,"Louisiana",39959,4673673,0.00854980654401795,85.4980654401795,4.44849374925608,0.04
2018,"New Mexico",34048,2093754,0.0162617002761547,162.617002761547,5.09139775967605,0.14
2024,"New Hampshire",564859,1409032,0.400884436975172,4008.84436975172,8.2962582916724,0.94
2019,"Massachusetts",111175,6894883,0.0161242765105659,161.242765105659,5.0829110871075,0.98
2018,"Iowa",67404,3149900,0.0213987745642719,213.987745642719,5.36591875003046,0.74
2022,"Alaska",186026,734442,0.253288891430501,2532.88891430501,7.83711579365311,0.22
2017,"Oregon",66320,4147294,0.0159911498919536,159.911498919536,5.07462053044713,0.74
2022,"Delaware",335500,1020625,0.328720146968769,3287.20146968769,8.09779186466319,0.8
2018,"Hawaii",24168,1423102,0.0169826196576212,169.826196576212,5.13477554098931,0.2
2020,"South Carolina",287094,5132249,0.0559392188492803,559.392188492803,6.32685081658885,0.28
2019,"Colorado",78963,5758486,0.0137124584482796,137.124584482796,4.9208898883833,0.94
2021,"Idaho",357397,1904848,0.187624944352515,1876.24944352515,7.53703008635877,0.24
2017,"Arizona",99736,7048088,0.0141507881286386,141.507881286386,4.95235541366921,0.52
2023,"Maine",408918,1399646,0.292158159991884,2921.58159991884,7.97988039243409,0.76
2022,"New Mexico",555943,2113868,0.26299797338339,2629.9797338339,7.87473141937554,0.3
2019,"North Carolina",106098,10501384,0.0101032397253543,101.032397253543,4.61544123029377,0.46
